battery_id,filename,Capacity,SoH
B0047,00001.csv,1.6743047446975208,100.0
B0047,00005.csv,1.5243662105099025,91.04472858585216
B0047,00007.csv,1.5080762969973425,90.07179259172385
B0047,00009.csv,1.4835577960067696,88.60739364832826
B0047,00011.csv,1.4671391666146525,87.62676993307483
B0047,00013.csv,1.448858156982267,86.53491316743637
B0047,00017.csv,1.4458534180949325,86.35545128053374
B0047,00021.csv,1.431118266178283,85.47537541839961
B0047,00023.csv,1.419274551657853,84.76799436617847
B0047,00025.csv,1.3999974221808271,83.61664306420813
B0047,00027.csv,1.3885156686114437,82.93088059439815
B0047,00029.csv,1.3652234669528964,81.53972395267488
B0047,00033.csv,1.4060442272970963,83.97779626140351
B0047,00037.csv,1.405754161352578,83.96047170054104
B0047,00039.csv,1.3867662881727878,82.82639660220997
B0047,00041.csv,1.3705053061420225,81.85518857796808
B0047,00043.csv,1.34974311148236,80.61513985174807
B0047,00045.csv,1.3251533367939785,79.14648399526456
B0047,00049.csv,1.3111943869635805,78.31276779905801
B0047,00051.csv,0.0,0.0
B0047,00053.csv,1.3394234405932892,79.99878426165894
B0047,00055.csv,1.2849157142560723,76.74324034052742
B0047,00057.csv,1.281719159327807,76.55232199436679
B0047,00061.csv,1.2600051642942829,75.25542576909527
B0047,00063.csv,1.266070385993126,75.61767892032425
B0047,00065.csv,1.2413590294280803,74.14176143019554
B0047,00067.csv,1.2298873703485311,73.4566018667481
B0047,00069.csv,1.228088614506696,73.34916886522723
B0047,00073.csv,1.2139857189070042,72.50685532318207
B0047,00075.csv,1.2173435064564189,72.70740349459761
B0047,00077.csv,1.2073445944515917,72.11020564059322
B0047,00079.csv,1.18804049227045,70.95724335924766
B0047,00081.csv,1.186304749886542,70.85357391738499
B0047,00085.csv,1.2613935471028506,75.33834871445302
B0047,00089.csv,1.2648246158850651,75.5432737015607
B0047,00091.csv,1.24664945489822,74.45773888214354
B0047,00093.csv,1.2333924152795082,73.66594517429576
B0047,00095.csv,1.2129250072037692,72.44350295518608
B0047,00097.csv,1.1999106597943647,71.66620435105678
B0047,00101.csv,1.1902559038393383,71.08956165888245
B0047,00103.csv,1.1892563795455853,71.02986378745739
B0047,00105.csv,1.167069685125939,69.70473498459693
B0047,00107.csv,1.1615348403090369,69.374159273429
B0047,00109.csv,1.1555563844349988,69.01708832245835
B0047,00113.csv,1.1488524666097713,68.6166882252563
B0047,00115.csv,1.143572986788779,68.30136451625336
B0047,00117.csv,1.1418015379428537,68.19556246011422
B0047,00119.csv,1.136058647502255,67.85256095702546
B0047,00121.csv,1.1236364680969286,67.11063034704141
B0047,00125.csv,1.1320498900328944,67.61313277156185
B0047,00127.csv,1.117010176215815,66.71486655899155
B0047,00129.csv,1.120043039721982,66.89600822485447
B0047,00131.csv,1.1059773445917065,66.05591652859539
B0047,00133.csv,0.0,0.0
B0047,00137.csv,1.1907902374762016,71.12147542121009
B0047,00141.csv,1.2012387088454022,71.74552378530214
B0047,00143.csv,1.1906909549024802,71.11554564205633
B0047,00145.csv,1.1764375730308343,70.26424411425586
B0047,00147.csv,1.1628110372792353,69.45038177558939
B0047,00149.csv,1.1516152840582583,68.78170104369552
B0047,00153.csv,1.1583673498348623,69.18497683909584
B0047,00157.csv,1.1692285288386206,69.83367469640976
B0047,00159.csv,1.1588148476218465,69.2117042188277
B0047,00161.csv,1.1439588147705455,68.3244085877098
B0047,00163.csv,1.1383941068159398,67.99204926231046
B0047,00165.csv,0.0,0.0
B0047,00169.csv,1.2213102850395667,72.94432443719845
B0047,00173.csv,1.2031062978889062,71.8570679381464
B0047,00175.csv,1.1897147112197684,71.05723823500851
B0047,00177.csv,1.177422568842014,70.32307425341058
B0047,00179.csv,1.158443027293818,69.18949677247087
B0047,00181.csv,1.1567087516841796,69.08591493558421
B0045,00185.csv,1.0819793880779518,100.0
B0045,00189.csv,0.927952404748273,85.76433294137931
B0045,00191.csv,0.885193608411576,81.81242805226174
B0045,00193.csv,0.8581010699478283,79.30844888571998
B0045,00195.csv,0.8409352213456689,77.72192618562926
B0045,00197.csv,0.8245471942901911,76.20729224379514
B0045,00201.csv,0.7935960418803983,73.34668761945244
B0045,00205.csv,0.8183676087159205,75.6361551553846
B0045,00207.csv,0.7977644276409412,73.73194318036916
B0045,00209.csv,0.7993777411831636,73.88105078445099
B0045,00211.csv,0.7783107440628891,71.93397144519497
B0045,00213.csv,0.7803738231239117,72.124647818863
B0045,00217.csv,0.7713058245640294,71.28655435240697
B0045,00221.csv,0.795279016979026,73.50223356766291
B0045,00223.csv,0.7824128169919247,72.31309816186214
B0045,00225.csv,0.7649414992231182,70.69834302314894
B0045,00227.csv,0.7544899426779375,69.73237669695607
B0045,00229.csv,0.7504048978314295,69.35482377020718
B0045,00233.csv,0.7407258109620256,68.46025156522295
B0045,00235.csv,0.0,0.0
B0045,00237.csv,0.7308525593793626,67.54773403564208
B0045,00239.csv,0.7287255851177903,67.3511522629199
B0045,00241.csv,0.7161023377036263,66.1844713119465
B0045,00245.csv,0.7129204834988017,65.89039415669895
B0045,00247.csv,0.7141991829499618,66.0085756549095
B0045,00249.csv,0.7190570819844222,66.45755824071367
B0045,00251.csv,0.7173975428775917,66.30417832191702
